game_id,phase,move_num,player,ai_name,column,move_time
1,1,1,1,NewAI,3,1.1625964641571045
1,1,2,2,OldAI,3,1.001047134399414
1,1,3,1,NewAI,3,1.3478686809539795
1,1,4,2,OldAI,3,0.7998263835906982
1,1,5,1,NewAI,2,1.88266921043396
1,1,6,2,OldAI,1,0.4455854892730713
1,1,7,1,NewAI,2,1.365677833557129
1,1,8,2,OldAI,2,0.85992431640625
1,1,9,1,NewAI,0,1.47715425491333
1,1,10,2,OldAI,2,1.3355300426483154
1,1,11,1,NewAI,4,7.729018926620483
1,1,12,2,OldAI,5,2.7778139114379883
1,1,13,1,NewAI,5,14.325931310653687
1,1,14,2,OldAI,2,1.5649590492248535
1,1,15,1,NewAI,2,0.00023746490478515625
1,1,16,2,OldAI,3,0.9149477481842041
1,1,17,1,NewAI,5,5.250924348831177
1,1,18,2,OldAI,3,0.7794089317321777
1,1,19,1,NewAI,0,2.5915703773498535
1,1,20,2,OldAI,1,0.2919743061065674
1,1,21,1,NewAI,6,1.2986903190612793
1,1,22,2,OldAI,5,0.27819347381591797
1,1,23,1,NewAI,5,2.4983978271484375
1,1,24,2,OldAI,5,0.1395282745361328
1,1,25,1,NewAI,4,0.39068007469177246
1,1,26,2,OldAI,1,0.05081343650817871
1,1,27,1,NewAI,1,0.0001773834228515625
1,1,28,2,OldAI,1,0.04904317855834961
1,1,29,1,NewAI,1,0.021027565002441406
1,1,30,2,OldAI,0,0.006218910217285156
1,1,31,1,NewAI,6,0.007172584533691406
1,1,32,2,OldAI,0,0.003953695297241211
1,1,33,1,NewAI,0,4.744529724121094e-05
1,1,34,2,OldAI,0,0.0012013912200927734
1,1,35,1,NewAI,6,0.0012056827545166016
1,1,36,2,OldAI,6,0.0004150867462158203
1,1,37,1,NewAI,4,2.09808349609375e-05
2,1,1,1,NewAI,3,2.419837713241577
2,1,2,2,OldAI,3,2.268946886062622
2,1,3,1,NewAI,3,3.1762752532958984
2,1,4,2,OldAI,2,2.180652141571045
2,1,5,1,NewAI,2,4.269438982009888
2,1,6,2,OldAI,3,1.9561352729797363
2,1,7,1,NewAI,2,4.302316665649414
2,1,8,2,OldAI,2,1.7962005138397217
2,1,9,1,NewAI,1,4.617859601974487
2,1,10,2,OldAI,3,1.5728776454925537
2,1,11,1,NewAI,4,32.78451323509216
2,1,12,2,OldAI,3,2.411912441253662
2,1,13,1,NewAI,6,7.103888988494873
2,1,14,2,OldAI,5,0.9481384754180908
2,1,15,1,NewAI,2,7.968166351318359
2,1,16,2,OldAI,5,0.7940914630889893
2,1,17,1,NewAI,5,3.313194990158081
2,1,18,2,OldAI,5,0.5444862842559814
2,1,19,1,NewAI,6,3.976062059402466
2,1,20,2,OldAI,2,0.7381172180175781
2,1,21,1,NewAI,5,1.5088672637939453
2,1,22,2,OldAI,5,0.23988962173461914
2,1,23,1,NewAI,1,0.531658411026001
2,1,24,2,OldAI,1,0.062142372131347656
2,1,25,1,NewAI,1,0.3458871841430664
2,1,26,2,OldAI,0,0.03979802131652832
2,1,27,1,NewAI,0,0.0001373291015625
2,1,28,2,OldAI,0,0.08364701271057129
2,1,29,1,NewAI,1,0.1904592514038086
2,1,30,2,OldAI,1,0.042557477951049805
2,1,31,1,NewAI,0,0.017074108123779297
2,1,32,2,OldAI,0,0.0025615692138671875
2,1,33,1,NewAI,0,0.00010323524475097656
2,1,34,2,OldAI,6,0.0004889965057373047
2,1,35,1,NewAI,6,0.0014243125915527344
